annual_per_share_div,trailing_div_yield,buyback_yield,total_yield,payout_ratio,fiscal_year
3.680000000000,0.032200000000,0.021300000000,0.053500000000,0.614400000000,2016
3.880000000000,0.032200000000,0.024300000000,0.056400000000,0.606300000000,2017
4.000000000000,0.035100000000,0.017800000000,0.052900000000,0.992600000000,2018
4.120000000000,0.030000000000,0.015900000000,0.045800000000,0.660300000000,2019
4.280000000000,0.031700000000,0.015400000000,0.047100000000,0.623000000000,2020
4.560000000000,0.031900000000,0.013400000000,0.045300000000,0.852300000000,2021
4.640000000000,0.034200000000,0.001800000000,0.035900000000,0.811200000000,2022
4.720000000000,0.038800000000,0.004100000000,0.043000000000,0.906000000000,2023
4.880000000000,0.037200000000,0.021300000000,0.058500000000,0.646400000000,2024
,0.050000000000,0.011600000000,0.061500000000,,2025
